date,url,mobile_perf,desktop_perf,seo,ai
28.11.2025,https://www.o2.cz/,0,0,100,100
28.11.2025,https://www.o2.cz/osobni/o2spolu,0,0,100,100
28.11.2025,https://www.o2.cz/osobni/oneplay,0,0,90,100
01.12.2025,https://www.o2.cz/,0,0,100,100
01.12.2025,https://www.o2.cz/osobni/o2spolu,0,0,100,100
01.12.2025,https://www.o2.cz/osobni/oneplay,0,0,90,100
07.12.2025,https://www.o2.cz/,0,0,100,100
07.12.2025,https://www.o2.cz/osobni/o2spolu,0,0,100,100
07.12.2025,https://www.o2.cz/osobni/oneplay,0,0,90,100
08.12.2025,https://www.o2.cz/,0,0,100,100
08.12.2025,https://www.o2.cz/osobni/o2spolu,0,0,100,100
08.12.2025,https://www.o2.cz/osobni/oneplay,0,0,90,100
15.12.2025,https://www.o2.cz/,0,0,100,100
15.12.2025,https://www.o2.cz/osobni/o2spolu,0,0,100,100
15.12.2025,https://www.o2.cz/osobni/oneplay,0,0,90,100
22.12.2025,https://www.o2.cz/,0,0,100,100
22.12.2025,https://www.o2.cz/osobni/o2spolu,0,0,100,100
22.12.2025,https://www.o2.cz/osobni/oneplay,0,0,90,100
29.12.2025,https://www.o2.cz/,0,0,100,100
29.12.2025,https://www.o2.cz/osobni/o2spolu,0,0,100,100
29.12.2025,https://www.o2.cz/osobni/oneplay,0,0,90,100
05.01.2026,https://www.o2.cz/,0,0,100,100
05.01.2026,https://www.o2.cz/osobni/o2spolu,0,0,100,100
05.01.2026,https://www.o2.cz/osobni/oneplay,0,0,90,100
